tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
391128701026,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-16 14:13:55,2020-03-20 13:37:00,95.38,3,7,82.4,31.79,True,RESIDENCE,1,True,11
390901883808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-06 11:57:56,2020-03-09 19:50:00,79.87,3,7,60.13,26.62,True,RECEPTIONIST_OR_FRONT_DESK,2,False,12
391128749178,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Ahmedabad,GJ,,2020-03-16 14:19:04,2020-03-19 15:29:00,73.17,3,8,56.43,24.39,True,RESIDENCE,1,True,12
390807986805,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-03 12:34:38,2020-03-07 14:24:00,97.82,2,6,81.62,48.91,True,RESIDENCE,1,True,10
390948921190,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-09 11:39:24,2020-03-13 14:44:00,99.08,3,7,83.0,33.03,True,RESIDENCE,1,True,11
390950106897,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-09 13:59:28,2020-03-12 16:00:00,74.01,3,8,59.9,24.67,True,,0,True,12
391128762808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-16 14:20:46,2020-03-18 12:09:00,45.8,3,7,35.27,15.27,True,RESIDENCE,0,True,10
390807994538,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-03 12:35:41,2020-03-07 15:19:00,98.72,2,6,81.62,49.36,True,RESIDENCE,1,True,10
390950134073,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-09 14:03:12,2020-03-13 14:44:00,96.68,3,6,83.0,32.23,True,RESIDENCE,1,True,10
390950572730,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-09 14:51:22,2020-03-10 15:30:00,24.64,3,5,10.8,8.21,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390839041400,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-04 11:02:03,2020-03-09 14:45:00,123.72,3,9,85.8,41.24,True,RESIDENCE,1,True,13
390807999654,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bokaro steel City,JH,,2020-03-03 12:36:19,2020-03-12 13:00:00,216.39,2,7,202.02,108.2,True,RECEPTIONIST_OR_FRONT_DESK,1,True,11
390767871261,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurugram,HR,,2020-03-02 12:27:20,2020-03-11 18:30:00,222.04,2,8,159.02,111.02,True,RECEPTIONIST_OR_FRONT_DESK,1,True,17
391018702750,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Lucknow,UP,,2020-03-11 14:39:47,2020-03-18 19:26:00,172.77,3,8,138.55,57.59,True,RESIDENCE,1,True,13
390931993491,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,ahmedabad,GJ,,2020-03-07 14:05:32,2020-03-11 14:31:00,96.42,3,9,81.92,32.14,True,RESIDENCE,1,True,13
391080326650,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Thane,MH,,2020-03-13 11:59:03,2020-03-20 16:00:00,172.02,3,14,155.72,57.34,True,,4,False,25
390870220230,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-05 10:16:28,2020-03-14 18:15:00,223.98,3,17,212.35,74.66,True,IN_BOND_OR_CAGE,1,True,24
390901963670,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,HYDERABAD,TS,,2020-03-06 12:03:50,2020-03-10 18:00:00,101.94,3,8,71.83,33.98,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390950151411,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-09 14:05:31,2020-03-13 14:44:00,96.64,3,6,83.0,32.21,True,RESIDENCE,1,True,10
390950569057,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,2020-03-09 14:51:00,2020-03-10 11:52:00,21.02,3,4,10.87,7.01,True,RESIDENCE,1,True,8
391018768927,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Lucknow,UP,,2020-03-11 14:49:21,2020-03-18 19:26:00,172.61,3,7,138.55,57.54,True,RESIDENCE,1,True,12
390901927330,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-06 12:00:41,2020-03-12 13:49:00,145.81,3,11,120.2,48.6,True,RESIDENCE,2,False,17
390932009368,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,HYDERABAD,TS,,2020-03-07 14:09:38,2020-03-09 18:00:00,51.84,3,7,39.05,17.28,True,RECEPTIONIST_OR_FRONT_DESK,0,True,10
280902966660,FEDEX_EXPRESS_SAVER,FDXE,2.5,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2021-06-29 12:01:21,2021-07-02 19:59:00,79.96,3,8,62.27,26.65,True,IN_BOND_OR_CAGE,0,True,12
390871801797,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,2020-03-05 14:03:43,2020-03-06 10:40:00,20.6,3,4,8.75,6.87,True,RESIDENCE,1,True,8
390767885350,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-02 12:28:35,2020-03-04 14:11:00,49.71,2,6,35.08,24.85,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
390902302347,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-06 12:27:48,2020-03-07 11:06:00,22.64,3,6,12.95,7.55,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
391017630155,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-11 12:04:19,2020-03-16 15:25:00,123.34,3,7,85.53,41.11,True,RESIDENCE,1,True,11
390839024061,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-04 10:59:28,2020-03-09 14:45:00,123.76,3,9,85.8,41.25,True,RESIDENCE,1,True,13
391080744877,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-13 12:31:15,2020-03-16 15:40:00,75.15,3,12,59.73,25.05,True,RECEPTIONIST_OR_FRONT_DESK,0,True,16
391195866906,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New delhi,DL,,2020-03-18 12:04:13,2020-03-23 16:36:00,124.53,3,9,115.37,41.51,True,RESIDENCE,1,True,14
391049832078,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Kolkata,WB,,2020-03-12 13:57:01,2020-03-18 17:02:00,147.08,3,8,114.25,49.03,True,RESIDENCE,1,True,12
280853182067,FEDEX_EXPRESS_SAVER,FDXE,5.0,YOUR_PACKAGING,Bangalore,KA,,Chennai,TN,,2021-06-28 16:22:33,2021-07-02 19:19:00,98.94,3,8,70.57,32.98,True,RESIDENCE,2,False,14
390808808594,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-03 14:27:55,2020-03-05 13:39:00,47.18,2,6,33.13,23.59,True,RESIDENCE,1,True,10
391018775697,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,2020-03-11 14:50:06,2020-03-14 13:21:00,70.52,3,8,59.05,23.5,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390948863631,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-09 11:33:58,2020-03-11 15:30:00,51.93,3,8,34.45,17.31,True,RECEPTIONIST_OR_FRONT_DESK,0,True,11
390767878200,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-02 12:27:57,2020-03-03 17:36:00,29.13,2,4,7.13,14.57,True,RESIDENCE,1,True,8
390871721487,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Mysuru,KA,,2020-03-05 13:51:19,2020-03-06 14:00:00,24.14,3,5,9.9,8.05,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390871798135,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-05 14:02:59,2020-03-09 18:30:00,100.45,3,8,41.73,33.48,True,RESIDENCE,1,True,13
390769051308,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-02 14:39:33,2020-03-06 18:19:00,99.66,2,8,67.5,49.83,True,SHIPPING_RECEIVING,3,False,14
390948867394,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Vadodara,GJ,,2020-03-09 11:34:46,2020-03-12 12:30:00,72.92,3,7,60.72,24.31,True,RECEPTIONIST_OR_FRONT_DESK,0,True,10
391080357350,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-13 12:01:41,2020-03-16 16:40:00,76.64,3,9,56.48,25.55,True,RESIDENCE,1,True,13
390769041097,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,2020-03-02 14:38:21,2020-03-05 16:20:00,73.69,2,8,57.93,36.85,True,RESIDENCE,1,True,12
390767756692,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-02 12:15:59,2020-03-04 19:00:00,54.73,2,7,38.22,27.37,True,RECEPTIONIST_OR_FRONT_DESK,0,True,10
391128713604,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-16 14:15:13,2020-03-21 10:50:00,116.58,3,8,100.48,38.86,True,RESIDENCE,2,False,14
390767773927,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-02 12:18:12,2020-03-04 13:00:00,48.7,2,7,31.4,24.35,True,RESIDENCE,1,True,11
390987545399,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-10 13:48:22,2020-03-12 14:55:00,49.11,3,8,40.35,16.37,True,RESIDENCE,1,True,12
390871765957,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-05 13:57:47,2020-03-07 18:00:00,52.04,3,6,34.95,17.35,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
391049864544,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,2020-03-12 14:02:22,2020-03-17 18:07:00,124.08,3,10,91.4,41.36,True,RESIDENCE,2,False,16
390767863940,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-02 12:26:42,2020-03-07 18:30:00,126.06,2,8,106.98,63.03,True,RECEPTIONIST_OR_FRONT_DESK,2,False,15
390948901463,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,2020-03-09 11:37:45,2020-03-10 18:48:00,31.17,3,5,10.8,10.39,True,RESIDENCE,1,True,9
390950797924,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-09 15:12:00,2020-03-10 15:30:00,24.3,3,5,10.8,8.1,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390767768950,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Rajnandgaon,CT,,2020-03-02 12:17:37,2020-03-05 17:30:00,77.21,2,7,63.05,38.6,True,RECEPTIONIST_OR_FRONT_DESK,0,True,10
390839698450,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Kolkata,WB,,2020-03-04 12:30:39,2020-03-11 17:09:00,172.64,3,9,133.0,57.55,True,RESIDENCE,1,True,13
391080351396,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-13 12:01:02,2020-03-17 13:21:00,97.33,3,6,80.32,32.44,True,RESIDENCE,1,True,10
390948893060,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,2020-03-09 11:36:56,2020-03-10 13:33:00,25.93,3,5,10.8,8.64,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390948915036,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Indore,MP,,2020-03-09 11:38:58,2020-03-12 11:51:00,72.2,3,8,60.18,24.07,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390901942719,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-06 12:01:42,2020-03-11 18:00:00,125.97,3,12,110.32,41.99,True,RECEPTIONIST_OR_FRONT_DESK,0,True,17
391080316258,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-13 11:57:53,2020-03-16 15:09:00,75.19,2,9,50.48,37.59,True,SHIPPING_RECEIVING,0,True,13
280902855329,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2021-06-29 11:50:07,2021-07-05 15:57:00,148.11,3,10,87.25,49.37,True,RESIDENCE,2,False,17
390932015238,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-07 14:11:05,2020-03-10 18:00:00,75.82,3,8,47.78,25.27,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390808005402,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-03 12:36:55,2020-03-06 18:15:00,77.63,2,7,59.87,38.82,True,IN_BOND_OR_CAGE,0,True,10
390948897537,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-09 11:37:17,2020-03-14 12:49:00,121.2,3,8,88.57,40.4,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
391049835905,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Ahmedabad,GJ,,2020-03-12 13:57:42,2020-03-17 13:00:00,119.04,3,13,108.93,39.68,True,RECEPTIONIST_OR_FRONT_DESK,1,True,19
390871789380,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-05 14:01:25,2020-03-09 12:10:00,94.14,3,8,41.73,31.38,True,RESIDENCE,2,False,15
390931995152,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Udaipur,RJ,,2020-03-07 14:06:11,2020-03-13 13:54:00,143.8,3,13,132.72,47.93,True,RECEPTIONIST_OR_FRONT_DESK,1,True,18
391080697205,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-13 12:28:29,2020-03-16 16:25:00,75.94,3,12,59.73,25.31,True,RECEPTIONIST_OR_FRONT_DESK,0,True,16
391128770200,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-16 14:21:33,2020-03-20 16:55:00,98.56,3,7,82.4,32.85,True,RESIDENCE,1,True,11
390950240108,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-09 14:17:21,2020-03-12 16:00:00,73.71,3,9,59.9,24.57,True,,0,True,13
390767808307,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Greater Noida,UP,,2020-03-02 12:21:54,2020-03-06 18:28:00,102.1,2,8,86.85,51.05,True,RESIDENCE,0,True,12
391128738630,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-16 14:18:02,2020-03-18 14:08:00,47.83,3,6,33.83,15.94,True,RESIDENCE,1,True,10
390902329207,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,2020-03-06 12:30:05,2020-03-07 11:06:00,22.6,3,6,12.95,7.53,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
391198356290,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Thanjavur,TN,,2020-03-18 15:53:17,2020-04-10 09:25:00,545.53,3,10,107.45,181.84,True,RESIDENCE,0,True,16
390931713959,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-07 12:57:43,2020-03-11 15:19:00,98.35,3,7,80.95,32.78,True,RESIDENCE,1,True,11
391017620614,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-11 12:03:22,2020-03-16 16:32:00,124.48,3,11,85.83,41.49,True,RESIDENCE,1,True,15
390932012191,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Kozhikode,KL,,2020-03-07 14:10:15,2020-03-10 16:00:00,73.83,3,5,59.68,24.61,True,RECEPTIONIST_OR_FRONT_DESK,0,True,8
390871747925,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,indore,MP,,2020-03-05 13:54:56,2020-03-09 15:49:00,97.9,3,11,83.37,32.63,True,RESIDENCE,1,True,16
391128574287,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurugram,HR,,2020-03-16 13:58:20,2020-03-20 12:59:00,95.01,3,7,80.1,31.67,True,RESIDENCE,1,True,11
391109027000,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bhilai,CT,,2020-03-14 13:57:07,2020-03-20 15:55:00,145.96,3,10,110.13,48.65,True,RESIDENCE,1,True,14
391049862758,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-12 14:01:57,2020-03-14 16:00:00,49.97,3,6,33.43,16.66,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
390931989124,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,GURGAON,HR,,2020-03-07 14:04:29,2020-03-11 15:19:00,97.24,3,7,80.9,32.41,True,RESIDENCE,1,True,11
391195859433,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-18 12:02:56,2020-03-20 15:30:00,51.45,3,6,36.32,17.15,True,RESIDENCE,1,True,10
390871742485,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mysore,KA,,2020-03-05 13:54:05,2020-03-06 14:00:00,24.1,3,5,9.87,8.03,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
391049866890,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Visakhapatnam,AP,,2020-03-12 14:02:40,2020-03-16 16:26:00,98.39,3,9,62.42,32.8,True,RESIDENCE,1,True,13
390948910847,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-09 11:38:35,2020-03-12 13:45:00,74.11,3,8,41.88,24.7,True,RESIDENCE,1,True,14
391018754107,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,2020-03-11 14:47:52,2020-03-14 13:17:00,70.49,3,8,59.05,23.5,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
280998636780,FEDEX_EXPRESS_SAVER,FDXE,3.8,YOUR_PACKAGING,Mumbai,MH,,Surat,GJ,,2021-07-01 17:48:58,2021-07-07 17:34:00,143.75,3,10,70.35,47.92,True,RESIDENCE,2,False,16
281176409884,FEDEX_EXPRESS_SAVER,FDXE,6.0,YOUR_PACKAGING,Mumbai,MH,,Hyderabad,TS,,2021-07-07 14:06:44,2021-07-13 16:13:00,146.1,3,8,95.33,48.7,True,RESIDENCE,2,False,15
281097610455,FEDEX_EXPRESS_SAVER,FDXE,18.0,YOUR_PACKAGING,Mumbai,MH,,Bangalore,KA,,2021-07-05 14:00:14,2021-07-09 16:37:00,98.61,3,9,71.65,32.87,True,RESIDENCE,0,True,13
281333571565,FEDEX_EXPRESS_SAVER,FDXE,17.24,YOUR_PACKAGING,Mumbai,MH,,Mumbai,MH,,2021-07-12 16:33:34,2021-07-14 12:35:00,44.02,3,6,24.33,14.67,True,RECEPTIONIST_OR_FRONT_DESK,2,False,12
281095533884,FEDEX_EXPRESS_SAVER,FDXE,12.0,YOUR_PACKAGING,Goa,GA,,Chennai,TN,,2021-07-05 11:05:02,2021-07-14 18:53:00,223.8,2,8,136.13,111.9,True,RECEPTIONIST_OR_FRONT_DESK,1,True,13
280267329094,FEDEX_EXPRESS_SAVER,FDXE,20.0,YOUR_PACKAGING,Delhi,DL,,Noida,UP,,2021-06-11 13:32:07,2021-06-16 11:28:00,117.93,3,12,107.55,39.31,True,RECEPTIONIST_OR_FRONT_DESK,0,True,18
280267328981,FEDEX_EXPRESS_SAVER,FDXE,20.0,YOUR_PACKAGING,Delhi,DL,,Hyderabad,TS,,2021-06-11 13:32:04,2021-06-18 17:18:00,171.77,3,12,155.63,57.26,True,IN_BOND_OR_CAGE,0,True,16
281038348186,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,,Pune,MH,,2021-07-02 16:10:39,2021-07-07 16:13:00,120.04,3,10,71.1,40.01,True,RESIDENCE,2,False,15
280439181099,FEDEX_EXPRESS_SAVER,FDXE,32.0,YOUR_PACKAGING,Delhi,DL,,Chennai,TN,,2021-06-16 13:12:01,2021-06-24 18:22:00,197.17,3,9,180.15,65.72,True,RECEPTIONIST_OR_FRONT_DESK,1,True,17
281222569500,FEDEX_EXPRESS_SAVER,FDXE,22.5,YOUR_PACKAGING,Delhi,DL,,Jammu,JK,,2021-07-08 15:18:55,2021-07-15 18:23:00,171.07,3,7,64.8,57.02,True,RECEPTIONIST_OR_FRONT_DESK,0,True,12
280307632740,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,,Pune,MH,,2021-06-12 13:41:06,2021-06-16 16:30:00,98.81,3,6,38.13,32.94,True,RESIDENCE,1,True,11
280307633276,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,,Pune,MH,,2021-06-12 13:41:09,2021-06-16 16:30:00,98.81,3,6,38.17,32.94,True,RESIDENCE,1,True,11
280993568461,FEDEX_EXPRESS_SAVER,FDXE,1.5,YOUR_PACKAGING,Pune,MH,,Mumbai,MH,,2021-07-01 12:15:53,2021-07-06 10:30:00,118.24,3,6,41.38,39.41,True,RESIDENCE,2,False,12
